"sticky-date","text-content","ReactionStaticEmoji src","P2FqNJAi","ReactionStaticEmoji src 2","P2FqNJAi 2","ReactionStaticEmoji src 3","P2FqNJAi 3","message-views","message-time","svg-appendix href","ReactionStaticEmoji src 4","full-media src","full-media src 2","thumbnail src","emoji src","message-media-duration","text-entity-link","a8dMNkh3 src","gYSfUe37 src","a8dMNkh3 src 2","gYSfUe37 src 2","a8dMNkh3 src 3","gYSfUe37 src 3","text-entity-link href","label","text-content 2","text-content 3","text-content 4","text-content 6","text-content 7","text-content 9","gYSfUe37 src 5","ReactionStaticEmoji src 5","P2FqNJAi 4"
"February 12","?А вы знали, что самое простое решение уже у вас под носом? — это поток теплых лидов!Каждый день десятки людей заходят в ваш профиль. Они смотрят... и уходят. Либо на канал (если он указан), либо в никуда (если профиль пустой).Да! казалось бы мелочь, но реальность такова, что качественно оформленный профиль в руках эксперта, оказывающего услуги, приводит клиентов.Первым делом человек видит ваш профиль. Качественная аватарка и профессиональное описание четко объясняет, кто вы, чем занимаетесь и что предлагаете. Формируют положительное впечатление. - .Качественное фото или логотип- Ответьте на вопросы: Кто вы? Чем помогаете? Что предлагаете?- Ведите на мини-приложение, тест, бесплатный материал или канал.-Укажите количество клиентов, успешные кейсы, сертификаты.Добавляйте новые достижения, обновляйте информацию.Фото ""до"" нет, но информации в моем профиле было минимум. После того, как я уделил внимание и оформил профиль - с применением MiniApp визитки - осознал, что терял бесплатный канал привлечения потенциальных клиентов! . За месяц получился список контактов более чем 60 человек! это было открытие для меняЕсли вы тоже не задумывались раньше про такой вариант получения лидов и не понимаете как их отследить пишите мне  в личку, я вам расскажу как.","blob:https://web.telegram.org/89b59bfa-1342-40ab-8670-19ed8f813537","4","blob:https://web.telegram.org/896eb59a-33a7-4145-ad34-a6d857a12b5c","2","blob:https://web.telegram.org/7bf49ef4-d659-4b36-be46-a17c9936be37","1","166","edited 16:09","[object Object]","blob:https://web.telegram.org/35ac6346-c0ba-49f1-b295-42ed0207cc95","","","","https://web.telegram.org/a/img-apple-64/2705.png","","КЛИЕНТЫ ИЗ МИНИАП","https://web.telegram.org/a/blank.8dd283bceccca95a48d8.png","blob:https://web.telegram.org/ef2ef6dc-c446-4f5b-a09b-9e4b2afc4f84","https://web.telegram.org/a/blank.8dd283bceccca95a48d8.png","blob:https://web.telegram.org/ef2ef6dc-c446-4f5b-a09b-9e4b2afc4f84","https://web.telegram.org/a/blank.8dd283bceccca95a48d8.png","blob:https://web.telegram.org/ef2ef6dc-c446-4f5b-a09b-9e4b2afc4f84","https://t.me/m/6zsD8DHRYzMy","Leave a comment","Для тех, кто не может решить эти задачи:Я сам долгое время искал решения для этих задач и наконец нашел то, что действительно работает —  Меня зовут Сергей. Я - Seo специалист с 6 летним стажем, более года занимаюсь разработкой мини приложений в телеграм! Больше половины этого срока выступал в роли консультанта/эксперта.Поэтому знаю все эти боли, знаю как их преодолеть. За эти годы получил опыт поиска своей ЦА, ошибался, снова искал те самые бесконечные точки трафика. И я их нашел! Я нашел этот волшебный набор!На данный момент одним из топовых инструментов привлечения клиентов и взаимодействия с ними являются .  Я научу и на своем примере покажу вам как с помощью telegram miniap построить и автоматизировать стабильный поток клиентов.Создавая этот канал, я поставил себе цель:Помочь экспертам освоить простые и эффективные инструменты для развития бизнесаПоделиться реальными кейсами и практикой применения Telegram MiniappОбъяснить сложные вещи простым языком и дать конкретные шаги для запуска своих решений Получить больше клиентов Продавать свои продукты Создать автоматизированный напишите мне в личку и я расскажу как на пассиве получать теплый трафик и делать продажи!","Ваш Telegram-профиль","Оформленный профиль может продавать?","Первое впечатление = доверие","Для кого этот канал?","источник трафика и дохода","","blob:https://web.telegram.org/896eb59a-33a7-4145-ad34-a6d857a12b5c","4"
"February 13","Представляете так тоже можно! Многие эксперты ломают голову , для какой ЦА?в какой соцсети? и на какую тему писать, а тут )Примерно за 30-35 дней собралось 63 потенциальных клиента - лида. Могу их так назвать, так как все эти люди :зашли ко мне в профиль, прочитали чем занимаюсь, зашли в мое приложение-визитку.Из них несколько человек проявило интерес к моим услугам - написали в личку. С остальными можно работать персонально, написав в личку познакомившись (он к вам заходил, значит уже почти товарищ=минимум негатива на ваше сообщение) либо  всем через бота приложения, которого они запустили Этого уже будет достаточно, чтобы сделать первые продажи. Дальше просто вкладываете заработанные деньги в другие методы и связки - , которые будут приносить вам ешё больше денег! Если ты хочешь настроить себе такой канал получения лидов, напиши в личку  или + в коммент, свяжусь с тобой, обсудим, создадим крутого ловца лидов и научу им пользоваться!  Интересно  в коммент если хочешь также","blob:https://web.telegram.org/89b59bfa-1342-40ab-8670-19ed8f813537","4","blob:https://web.telegram.org/896eb59a-33a7-4145-ad34-a6d857a12b5c","3","blob:https://web.telegram.org/d5405e91-bb0b-4416-a78e-e90d932c13d7","1","185","edited 02:28","[object Object]","blob:https://web.telegram.org/35ac6346-c0ba-49f1-b295-42ed0207cc95","","","","https://web.telegram.org/a/img-apple-64/1f525.png","","хочу миниап визитку","https://web.telegram.org/a/blank.8dd283bceccca95a48d8.png","blob:https://web.telegram.org/0ff4dbde-8e5f-4e1b-857a-80787ae4e9b7","https://web.telegram.org/a/blank.8dd283bceccca95a48d8.png","blob:https://web.telegram.org/76639ed0-42d0-4722-a094-ca8fbe8fe915","https://web.telegram.org/a/blank.8dd283bceccca95a48d8.png","blob:https://web.telegram.org/76639ed0-42d0-4722-a094-ca8fbe8fe915","","comments","какие инструменты, источники трафика использовать","пассивчик","создать рассылку","совершили целевое действие","А если ты активный комментатор в различных группах и сообществах результат будет в разы выше!","","blob:https://web.telegram.org/01e68d0a-8da3-4eb4-b61d-b0846d82d144","",""
"March 10","Самые интересные новинки:  теперь можно сделать отправку сообщений платной для пользователей, которых нет в контактах.  можно узнать страну, общие группы, дату регистрации и статус аккаунта (официальный, верифицированный или обычный). Это поможет избежать мошенников. Подписку Telegram Premium можно купить за звёзды Коллекционные подарки можно закреплять в профиле. Авторы блогов и владельцы каналов могут получать доход от платных сообщений и комментариев.  Бизнес-аккаунты смогут фильтровать нежелательные сообщения, оставляя только целевые запросы.  Информация о новых собеседниках поможет быстрее выявлять мошенников и фейки, сохраняя репутацию.  Возможность обмена звёзд на TON делает монетизацию гибкой и современной.","blob:https://web.telegram.org/896eb59a-33a7-4145-ad34-a6d857a12b5c","3","blob:https://web.telegram.org/89b59bfa-1342-40ab-8670-19ed8f813537","3","blob:https://web.telegram.org/1329e4ef-0e67-488d-9c30-0aa70d7e3596","2","123","18:13","[object Object]","blob:https://web.telegram.org/30c217c6-26a3-48fe-909d-5d6930bd78ca","https://web.telegram.org/a/progressive/document5359770597272349389","","blob:https://web.telegram.org/05d54df5-a644-4f22-89e4-17b7741be138","","0:12","","https://web.telegram.org/a/blank.8dd283bceccca95a48d8.png","blob:https://web.telegram.org/f5206cfb-1f50-4d69-bded-029d739a7d4e","https://web.telegram.org/a/blank.8dd283bceccca95a48d8.png","blob:https://web.telegram.org/986a5c08-32ec-43ea-a99b-51bafd8136d5","https://web.telegram.org/a/blank.8dd283bceccca95a48d8.png","blob:https://web.telegram.org/7e474f3d-580f-40de-a1d8-502b304cd861","","Leave a comment","Telegram обновился: сообщения за звёзды, верификация и многое другое!","Сообщения за звёзды:","Информация о новых собеседниках:","У кого уже обновился Telegram, оценили?","","","blob:https://web.telegram.org/5059eba5-fa7b-4df3-b7ca-067ed59e14b1","blob:https://web.telegram.org/35ac6346-c0ba-49f1-b295-42ed0207cc95","1"
"March 12","для экспертаМини приложение в телеграм. Никаких регистраций- Более 15 локаций- Баланс- Карта маршрута- Викторина- начисление баллов за правильный ответ- Уведомления- Распределение участников по группам- Права доступа к маршруту- Небольшая админка для владельца (сброс переменных для тестов)Хочешь свое приложение для удобного взаимодействия с аудиторией?","blob:https://web.telegram.org/35ac6346-c0ba-49f1-b295-42ed0207cc95","2","blob:https://web.telegram.org/89b59bfa-1342-40ab-8670-19ed8f813537","2","blob:https://web.telegram.org/896eb59a-33a7-4145-ad34-a6d857a12b5c","1","135","edited 21:38","[object Object]","blob:https://web.telegram.org/35ac6346-c0ba-49f1-b295-42ed0207cc95","https://web.telegram.org/a/progressive/document5370866997468883472","","blob:https://web.telegram.org/f44f30b8-019b-44fe-8d14-780ffc87832b","","1:08","","https://web.telegram.org/a/blank.8dd283bceccca95a48d8.png","blob:https://web.telegram.org/d9b3b923-ae49-4f39-bd27-73ecc87dc244","https://web.telegram.org/a/blank.8dd283bceccca95a48d8.png","","","","","Leave a comment","","Пиши","","","","","blob:https://web.telegram.org/307c860d-9e4e-4087-a4ad-f018a3e6050c","",""
"March 19","Всем привет. Скоро будут новые кейсы.А пока минутка пользы. Бесплатный сервис,","blob:https://web.telegram.org/896eb59a-33a7-4145-ad34-a6d857a12b5c","3","blob:https://web.telegram.org/35ac6346-c0ba-49f1-b295-42ed0207cc95","2","blob:https://web.telegram.org/89b59bfa-1342-40ab-8670-19ed8f813537","1","111","edited 17:31","[object Object]","blob:https://web.telegram.org/30c217c6-26a3-48fe-909d-5d6930bd78ca","blob:https://web.telegram.org/0054a213-f1f9-4892-bc21-c6dcefc2f0c2","blob:https://web.telegram.org/7f523a5f-7442-4bbc-b1fd-5ed876b68269","","","","https://app.napkin.ai/","","","","","","","https://app.napkin.ai/","Leave a comment","быстро делает инфографику из текста в 2 шага","","","","","","","blob:https://web.telegram.org/35ac6346-c0ba-49f1-b295-42ed0207cc95","1"
"March 21","Пользуетесь таплинками?","blob:https://web.telegram.org/30c217c6-26a3-48fe-909d-5d6930bd78ca","1","","","","","108","edited 21:08","[object Object]","blob:https://web.telegram.org/35ac6346-c0ba-49f1-b295-42ed0207cc95","https://web.telegram.org/a/progressive/document5400233836355286210","","blob:https://web.telegram.org/33deb14f-8fc3-4e12-9afa-ea9c64806bf3","","0:51","","https://web.telegram.org/a/blank.8dd283bceccca95a48d8.png","blob:https://web.telegram.org/19fc3140-d32d-4b1b-ae3c-9c56f9d0dd02","","","","","","Leave a comment","","","","","","","","",""
"March 22","","blob:https://web.telegram.org/30c217c6-26a3-48fe-909d-5d6930bd78ca","1","blob:https://web.telegram.org/89b59bfa-1342-40ab-8670-19ed8f813537","3","blob:https://web.telegram.org/896eb59a-33a7-4145-ad34-a6d857a12b5c","2","","","","","blob:https://web.telegram.org/4fb8495a-734e-48c8-bda6-475c611088ed","blob:https://web.telegram.org/2f0eb387-7e8f-4815-9f1a-069faddb9709","","","","","","","","","","","","","","","","","","Простой сервис доставки.Не сложный функционал. Клиент заполняет форму, форма приходит в бот тому, кого назначишь. Можно нескольким и допилить, чтобы можно было принимать заказ на себя. Но не было такой задачи","","blob:https://web.telegram.org/d5405e91-bb0b-4416-a78e-e90d932c13d7","2"
"March 25","","blob:https://web.telegram.org/896eb59a-33a7-4145-ad34-a6d857a12b5c","3","blob:https://web.telegram.org/ce575059-e658-4d76-85d1-fdc4b43744cc","1","blob:https://web.telegram.org/1329e4ef-0e67-488d-9c30-0aa70d7e3596","1","222","17:16","[object Object]","blob:https://web.telegram.org/30c217c6-26a3-48fe-909d-5d6930bd78ca","","","","","","","https://web.telegram.org/a/blank.8dd283bceccca95a48d8.png","blob:https://web.telegram.org/13511d7d-d0a3-402f-9c93-45e14a4a6464","","","","","","Leave a comment","","","","","","","","blob:https://web.telegram.org/35ac6346-c0ba-49f1-b295-42ed0207cc95","1"
"March 26","Ну... практически все оказались правы!Стоимость содержания своего миниприложения начинается  если, например, у вас  без сложного логического функционала как мой (хотя и сюда его можно уместить логику при желании)Многостраничник с логикой - от 1500 в месяц -,   -  -  -  Все в зависимости от ваших потребностей, можно гибко настроить. Параллель можно провести с хостингами для сайтов: если сайт -визитка от 150 рублей в месяц, если тяжелый проект и посещаемость высокая - берем дорогие сервера.","blob:https://web.telegram.org/89b59bfa-1342-40ab-8670-19ed8f813537","4","blob:https://web.telegram.org/896eb59a-33a7-4145-ad34-a6d857a12b5c","3","blob:https://web.telegram.org/35ac6346-c0ba-49f1-b295-42ed0207cc95","2","147","edited 01:07","[object Object]","blob:https://web.telegram.org/35ac6346-c0ba-49f1-b295-42ed0207cc95","","","","https://web.telegram.org/a/img-apple-64/2714.png","","https://t.me/ResumeSeobot/app","https://web.telegram.org/a/blank.8dd283bceccca95a48d8.png","blob:https://web.telegram.org/3d7857c4-4de4-427f-88db-dc21c2bba91b","https://web.telegram.org/a/blank.8dd283bceccca95a48d8.png","blob:https://web.telegram.org/0ff4dbde-8e5f-4e1b-857a-80787ae4e9b7","https://web.telegram.org/a/blank.8dd283bceccca95a48d8.png","blob:https://web.telegram.org/0ff4dbde-8e5f-4e1b-857a-80787ae4e9b7","https://t.me/ResumeSeobot/app%F0%9F%91%88","comments","Соревнования, квесты, лотереи, колесо фортуны, реферальная система, задачи, тесты, значки","простой сайт визитка","Интернет магазин: Продукты, категории, варианты, корзина, поставщики, доставка, импорт, спецпредложения","35 $ = 3000 рублей\месяц","задания, потоки, кураторы, тесты, спецпредложения","35$","blob:https://web.telegram.org/0ff4dbde-8e5f-4e1b-857a-80787ae4e9b7","",""
"April 2",". В данном случае человек ""без бумажек"". Он сделал тело сам и не особо хочет кому-то передавать опыт, я его сподвигаю, говорю начинай тренировать.Приложение можно применить и к другим экспертам не только спортивной ниши. Оцените и выскажите свое мнение: удобно ли, чего не хватает, что бы добавили? Есть простые элементы для заказа и оплаты, а так же геймификация: колесо фортуны и выполнение заданий за Вот ссылка","blob:https://web.telegram.org/89b59bfa-1342-40ab-8670-19ed8f813537","3","blob:https://web.telegram.org/896eb59a-33a7-4145-ad34-a6d857a12b5c","1","blob:https://web.telegram.org/d5405e91-bb0b-4416-a78e-e90d932c13d7","1","105","edited 08:30","[object Object]","blob:https://web.telegram.org/30c217c6-26a3-48fe-909d-5d6930bd78ca","blob:https://web.telegram.org/6283b60b-a82f-46fe-848c-de4621fab77d","blob:https://web.telegram.org/6c1f6922-7439-40be-8074-3baea7558134","","https://web.telegram.org/a/img-apple-64/1f4b0.png","","https://t.me/irontrenerbot/app","https://web.telegram.org/a/blank.8dd283bceccca95a48d8.png","blob:https://web.telegram.org/8426acd8-cf48-4591-aa0a-144fa97a0c9f","https://web.telegram.org/a/blank.8dd283bceccca95a48d8.png","blob:https://web.telegram.org/905d8bc5-49a3-48c5-885c-be4def361c6c","https://web.telegram.org/a/blank.8dd283bceccca95a48d8.png","blob:https://web.telegram.org/f0066b08-33e4-4744-a726-b325d10c1573","https://t.me/irontrenerbot/app","comments","Сделал telegram miniapp для персональных тренеров","","","","","","","blob:https://web.telegram.org/35ac6346-c0ba-49f1-b295-42ed0207cc95","1"
"July 20","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
